,Model_Name,Split,Accuracy,Recall,Precision,F1-Score,Kappa,ROC-AUC
0,Logistic Regression,Train,0.5907125,0.5907125,0.5855746497079003,0.5695858519556395,0.2571292421995518,
1,Logistic Regression,Test,0.58815,0.58815,0.5829339350395043,0.5660103831111306,0.2508034228287619,
2,Decision Tree,Train,1.0,1.0,1.0,1.0,1.0,
3,Decision Tree,Test,0.67025,0.67025,0.6707186298405564,0.6704665624108862,0.45299839345337867,
4,Random Forest,Train,1.0,1.0,1.0,1.0,1.0,
5,Random Forest,Test,0.7902,0.7902,0.7898790494011311,0.7899235558673103,0.6498940042833834,
6,Gradient Boosting,Train,0.702325,0.702325,0.704394339965358,0.7010928402116994,0.4976955803934411,
7,Gradient Boosting,Test,0.69585,0.69585,0.6977650823889053,0.6942240586843383,0.4855206084666486,
8,Extra Trees,Train,1.0,1.0,1.0,1.0,1.0,
9,Extra Trees,Test,0.76395,0.76395,0.763499017697001,0.7631834743306658,0.6025920343205593,
10,KNN,Train,0.73185,0.73185,0.7322474167503009,0.7317855596732156,0.5533842116441894,
11,KNN,Test,0.5889,0.5889,0.5891942858797978,0.5887734743107492,0.31504932682019837,
12,Naive Bayes,Train,0.550975,0.550975,0.5322245674950368,0.5360625605187848,0.2251356361813146,
13,Naive Bayes,Test,0.5484,0.5484,0.5300557909726509,0.5334776969214877,0.2198328306990599,
14,XGBoost,Train,0.8302125,0.8302125,0.8301062517767778,0.830122097447928,0.7172215076059424,
15,XGBoost,Test,0.7585,0.7585,0.7585954233214165,0.7582692203093896,0.5966416854391478,
16,Logistic Regression (Tuned),Train,0.5881625,0.5881625,0.5809401675903094,0.5547199273237726,0.2339458214186796,
17,Logistic Regression (Tuned),Test,0.585,0.585,0.576597955035553,0.550714704665639,0.22696001714733072,
18,Decision Tree (Tuned),Train,0.684025,0.684025,0.6840292322338666,0.6836226735885188,0.471099293282088,
19,Decision Tree (Tuned),Test,0.67175,0.67175,0.6715192746648616,0.6711187309571853,0.4498794856896916,
20,Random Forest (Tuned),Train,0.734925,0.734925,0.7391661602961878,0.7356448326858029,0.5594745948157758,
21,Random Forest (Tuned),Test,0.71165,0.71165,0.7158563215133004,0.7122295564631553,0.5210183473851437,
22,Gradient Boosting (Tuned),Train,0.7238375,0.7238375,0.7254475375167393,0.7231668152530916,0.5364933770809659,
23,Gradient Boosting (Tuned),Test,0.7093,0.7093,0.7109180287577337,0.7083891959015891,0.5111235474419218,
24,AdaBoost (Tuned),Train,0.6327375,0.6327375,0.6461546658075594,0.6087284483456468,0.33169873480401313,
25,AdaBoost (Tuned),Test,0.63425,0.63425,0.6493186371927675,0.6083043160979735,0.33159984842895807,
26,XGBoost (Tuned),Train,0.72475,0.72475,0.7275307181684839,0.7245036648111595,0.5396990004386112,
27,XGBoost (Tuned),Test,0.7096,0.7096,0.7125645911421726,0.7090625320850154,0.5129963154917867,
28,KNN (Tuned),Train,1.0,1.0,1.0,1.0,1.0,
29,KNN (Tuned),Test,0.58265,0.58265,0.5673499733255721,0.5614494316071229,0.251812873675918,
